,,,,,,,FINAL1,,,,,,,
"U.S. CITIZEN AIR TRAFFIC2 TO OVERSEAS REGIONS, CANADA & MEXICO",,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
,,,,,,,,,,,,,Final,% Change
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,YTD 3
Europe,"739,893","626,434","1,041,833","998,978","1,386,300","1,607,434","1,467,596","1,235,953","1,297,046","1,038,804","856,816","954,698","13,329,777",3.3%
Caribbean,"404,683","413,216","498,349","494,579","472,344","533,003","609,221","527,108","326,959","380,505","432,976","534,602","5,649,454",-1.6%
Asia,"453,310","380,157","491,223","439,723","500,404","537,365","518,640","426,248","406,684","485,960","444,696","498,840","5,603,444",8.2%
South America,"191,357","190,032","215,162","166,499","187,922","234,498","236,968","209,864","166,495","184,608","201,876","266,361","2,463,366",7.0%
Central America ,"203,558","197,804","252,127","193,710","188,305","250,011","276,505","216,089","136,391","153,621","192,866","280,064","2,560,991",8.7%
Oceania,"74,928","78,330","73,391","57,914","56,496","73,269","78,249","60,246","58,000","65,662","67,169","77,305","824,163",0.8%
Middle East,"33,493","35,603","44,179","40,431","51,794","61,611","61,915","59,283","44,280","47,996","45,874","58,373","591,592",24.9%
Africa,"12,859","11,353","18,560","14,854","16,839","16,035","22,428","19,444","15,456","18,292","16,389","22,664","205,173",23.7%
,,,,,,,,,,,,,,
Total Overseas,"2,114,081","1,932,929","2,634,824","2,406,688","2,860,404","3,313,226","3,271,522","2,754,235","2,451,311","2,375,448","2,258,662","2,692,907","31,227,960",4.3%
,,,,,,,,,,,,,,
Mexico,"441,379","419,585","510,282","467,610","475,387","543,568","576,586","499,139","339,161","433,784","461,543","594,522","5,799,865",1.8%
Canada (rev),"196,856","205,627","238,175","236,787","333,565","460,084","488,759","468,505","356,002","296,001","226,760","263,332","3,770,453",-2.9%
,,,,,,,,,,,,,,
Grand Total ,"2,752,316","2,558,141","3,383,281","3,111,085","3,669,356","4,316,878","4,336,867","3,721,879","3,146,474","3,105,233","2,946,965","3,550,761","40,798,278",3.2%
Monthly % Chg,1.4%,3.1%,2.7%,-2.2%,1.2%,1.1%,2.2%,5.4%,4.9%,7.5%,4.5%,2.0%,3.2%,
,,,,,,,,,,,,,,
1 Final data includes 'late records' not reflected in monthly reports,,,,,,,,,,,,,,
"2 Air traffic only, non-stop from US port to foreign port. Not same as total 'visitation' throughout the respective regions (refer 2007 U.S. Outbound Profile)",,,,,,,,,,,,,,
3 Percentage change is compared to the same time frame from 2006.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Note:  Air traffic to Overseas and Mexico (on U.S. and foreign flags) is based on the Office of Travel and Tourism Industries (OTTI) ""U.S. International Air Travel Statistics Report"" I-92.",,,,,,,,,,,,,,
           Air traffic to Canada data is obtained from Statistics Canada.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"To find out more about the I-92 program, visit: ",,,,http://www.tinet.ita.doc.gov/research/programs/i92/index.html,,,,,,,,,,
,,,,,,,,,,,,,,
"Source:  U.S. Department of Commerce, International Trade Administration, Office of Travel and Tourism Industries.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Released: May 2008,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
