,,,,,,,FINAL1,,,,,,,
,,,,"U.S. CITIZEN AIR TRAFFIC2 TO OVERSEAS REGIONS, CANADA & MEXICO",,,,,,,,,,
,,,,,,,2009,,,,,,,
,,,,,,,,,,,,,Final,% Change
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,YTD 3
Europe,"668,221","568,968","847,090","940,279","1,241,375","1,397,017","1,383,704","1,204,945","1,163,697","920,191","748,994","845,496","11,979,018",-4.2%
Caribbean,"396,837","418,004","453,515","477,955","487,674","524,193","617,394","515,953","315,012","373,034","406,699","529,256","5,530,518",-2.7%
Asia,"437,095","358,594","429,966","413,535","446,247","506,990","492,157","427,808","386,316","459,141","430,894","477,035","5,287,649",-4.1%
South America,"207,714","200,060","213,455","191,000","196,867","240,907","240,348","216,045","174,997","188,924","206,177","290,232","2,573,688",1.1%
Central America ,"211,280","206,134","246,459","213,056","202,225","247,029","264,246","206,522","136,096","146,452","176,222","269,131","2,532,059",-2.2%
Oceania,"66,177","65,299","58,118","50,703","51,929","65,998","77,673","61,794","59,080","67,003","68,589","91,662","787,872",2.6%
Middle East,"78,587","67,543","81,205","87,774","105,578","122,123","120,801","114,364","94,627","103,123","109,905","119,255","1,210,650",40.9%
Africa,"27,246","24,153","31,375","27,591","34,757","40,388","42,847","34,452","30,498","30,738","32,052","41,107","398,970",24.8%
,,,,,,,,,,,,,,
Total Overseas,"2,093,157","1,908,755","2,361,183","2,401,893","2,766,652","3,144,645","3,239,170","2,781,883","2,360,323","2,288,606","2,179,532","2,663,174","30,300,424",-1.6%
,,,,,,,,,,,,,,
Mexico,"444,319","447,187","510,573","464,651","274,104","465,304","520,147","450,081","313,311","380,080","417,251","562,802","5,263,604",-10.6%
Canada ,"172,516","179,756","197,503","213,929","267,608","377,849","454,694","394,796","315,284","254,070","199,425","252,843","3,280,273",-8.4%
,,,,,,,,,,,,,,
Grand Total ,"2,709,992","2,535,698","3,069,259","3,080,473","3,308,364","3,987,798","4,214,011","3,626,760","2,988,918","2,922,756","2,796,208","3,478,819","38,844,301",-3.5%
Monthly % Chg,-7.1%,-7.0%,-11.7%,-1.1%,-10.5%,-7.0%,1.2%,1.2%,2.4%,1.3%,-0.4%,1.1%,,
,,,,,,,,,,,,,,
1 Final Annual totals include 'late records' not reflected in monthly reports,,,,,,,,,,,,,,
"2 Air traffic only, non-stop from US port to foreign port. Not same as total 'visitation' throughout the respective regions (refer U.S. Outbound Profile)",,,,,,,,,,,,,,
3 Percentage change is compared to the same time frame from the previous year.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Note:  Air traffic to Overseas and Mexico (on U.S. and foreign flags) are reported from the Office of Travel and Tourism Industries (OTTI) ""U.S. International Air Travel Statistics Report"" I-92.",,,,,,,,,,,,,,
           Air traffic to Canada is obtained from Statistics Canada.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"To find out more about the I-92 program, visit: ",,,,http://www.tinet.ita.doc.gov/research/programs/i92/index.html,,,,,,,,,,
,,,,,,,,,,,,,,
"Source:  U.S. Department of Commerce, International Trade Administration, Office of Travel and Tourism Industries.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Released: May 2010; revised July 2010,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2009/2008,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,
WHTI (U.S. Outbound),,,,,,,,,,,,,,
Caribbean,-9.5%,-4.0%,-17.1%,-2.9%,-3.4%,-6.1%,-1.4%,-1.1%,9.6%,11.4%,3.1%,7.3%,-2.7%,
Mexico,-5.8%,-1.6%,-8.5%,-4.1%,-46.0%,-19.4%,-10.6%,-9.4%,0.3%,-5.5%,-7.2%,-1.1%,-10.6%,
Canada,-6.6%,-8.8%,-13.6%,-11.7%,-15.5%,-12.0%,-3.8%,-8.7%,-0.9%,-8.2%,-6.7%,-6.2%,-8.4%,
,,,,,,,,,,,,,,
Other Regions:,,,,,,,,,,,,,,
Europe,-11.3%,-14.9%,-13.8%,-2.9%,-5.9%,-8.2%,3.7%,7.3%,-1.4%,0.4%,-2.1%,-4.9%,-4.2%,
Asia,-11.6%,-10.8%,-16.6%,-4.0%,-10.0%,-1.9%,2.2%,-0.7%,-1.1%,0.3%,5.6%,3.1%,-4.1%,
So America,0.2%,-1.4%,-5.4%,8.7%,0.1%,-1.4%,3.9%,3.2%,4.9%,2.3%,1.2%,1.2%,1.1%,
Cent Am,-2.2%,-5.9%,-6.5%,12.2%,1.0%,-6.9%,4.4%,-6.4%,6.0%,-2.1%,-8.2%,0.3%,-2.2%,
Oceania,-10.5%,-17.7%,-12.3%,0.5%,-3.0%,7.4%,2.3%,6.5%,18.7%,11.5%,8.4%,26.6%,2.6%,
Middle East,37.4%,30.4%,25.8%,43.9%,40.0%,43.0%,62.0%,75.1%,56.4%,40.1%,23.5%,26.7%,40.9%,
Africa,27.8%,44.6%,24.3%,41.4%,30.9%,39.4%,34.0%,25.3%,19.6%,2.4%,10.2%,17.5%,24.8%,
Overseas,-7.5%,-8.0%,-12.2%,0.6%,-3.7%,-4.2%,4.2%,4.7%,3.1%,3.7%,1.6%,2.4%,-1.6%,
Total,-7.1%,-7.0%,-11.7%,-1.1%,-10.5%,-7.0%,1.2%,1.2%,2.4%,1.3%,-0.4%,1.1%,-3.5%,
