U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
2011 (Final),,,,,,,,,,,,,,,YTD,,,
,,,,,,,,,,,,,Total,% Change,Market,,,
Mexico (Total),"1,707,635","1,580,058","1,816,798","1,548,995","1,616,253","1,607,850","1,823,952","1,718,648","1,301,427","1,574,686",1698639.2,2020411.7,"20,015,353",,33.2%,,,
Mexico (Air),"442,247","420,932","510,099","447,597","459,214","533,766","586,099","417,896","272,959","354,501","402,237","526,113","5,383,108",,(7),,,
Canada (Total) ,"445,754","535,668","579,585","679,844","968,167","1,416,276","2,018,914","1,753,639","1,189,716","853,273","590,187","717,791","11,748,814",,19.5%,,,
Canada (Air) ,"167,074","189,106","218,197","225,643","273,232","412,789","461,080","413,470","330,444","287,287","229,515","257,274","3,465,111",,(7),,,
North America,"2,153,389","2,115,726","2,396,383","2,228,839","2,584,420","3,024,126","3,842,866","3,472,287","2,491,143","2,427,959","2,288,826","2,738,203","31,764,167",,,,,
,,,,,,,,,,,,,,,,,,
Grand Total ,"4,337,042","4,049,403","4,927,664","4,498,093","5,413,574","6,502,733","6,766,236","5,749,412","4,586,097","4,415,302","4,114,652","4,866,326","60,270,790",,100.0%,,,
,,,,,,,,,,,,,,,,,,
(7) Market Share of 'Air' travel compared to all air travel was 14.4% for Mexico-air and 9.3% for Canada.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2011/2010 1,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,
Western Hemisphere (U.S. Outbound),,,,,,,,,,,,,,,,,,
Caribbean,NA,NA,NA,NA,NA,NA,-1.1%,-3.9%,2.8%,-1.9%,8.4%,7.3%,,,,,,
Mexico (Total),NA,NA,NA,NA,NA,NA,4.8%,-11.3%,1.7%,-9.2%,-9.2%,4.8%,,,,,,
Mexico (Air),NA,NA,NA,NA,NA,NA,-6.4%,-5.6%,3.5%,1.7%,3.9%,9.7%,,,,,,
Canada (Total),NA,NA,NA,NA,NA,NA,-3.4%,-4.6%,-0.6%,-2.9%,-0.9%,3.5%,,,,,,
Canada (Air),NA,NA,NA,NA,NA,NA,0.3%,-1.7%,3.2%,-2.2%,-1.7%,-1.7%,,,,,,
Other Regions: 1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Europe,NA,NA,NA,NA,NA,NA,4.0%,8.0%,-0.3%,1.6%,0.7%,5.9%,,,,,,
Asia,NA,NA,NA,NA,NA,NA,4.9%,6.1%,3.9%,2.3%,5.1%,11.1%,,,,,,
So America,NA,NA,NA,NA,NA,NA,-4.0%,-4.2%,-0.8%,-2.4%,2.4%,-0.1%,,,,,,
Cent Am,NA,NA,NA,NA,NA,NA,5.7%,1.8%,8.0%,4.7%,9.6%,10.6%,,,,,,
Oceania,NA,NA,NA,NA,NA,NA,-8.0%,-5.3%,1.8%,-2.8%,7.8%,6.8%,,,,,,
Middle East,NA,NA,NA,NA,NA,NA,8.3%,4.9%,13.3%,7.4%,4.1%,7.5%,,,,,,
Africa,NA,NA,NA,NA,NA,NA,2.2%,0.3%,-8.2%,-9.9%,-8.4%,-6.3%,,,,,,
Overseas,NA,NA,NA,NA,NA,NA,2.5%,3.3%,1.6%,1.0%,4.2%,6.9%,,,,,,
Total,NA,NA,NA,NA,NA,NA,1.3%,-3.4%,1.1%,-3.4%,-2.1%,5.5%,,,,,,
