U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,YTD,,,
,,,,,,,,,,,,,Total,% Change,Market,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,YTD (1),Share,,,
Europe,"563,169","480,637","797,405","815,393","1,206,206","1,549,743","1,331,766","1,161,706","1,169,406","885,104","660,011","787,442","11,407,988",1.5%,18.5%,,,
Caribbean,"468,194","512,150","695,717","545,443","538,343","675,828","730,358","568,902","316,985","396,504","480,843","616,507","6,545,774",1.7%,10.6%,,,
Asia,"372,244","298,392","398,695","353,140","367,283","394,153","366,374","325,185","315,197","389,895","365,392","381,316","4,327,266",0.3%,7.0%,,,
South America,"125,428","138,617","160,305","124,815","139,367","171,972","165,187","148,030","111,115","124,161","135,463","190,728","1,735,188",1.9%,2.8%,,,
Central America ,"200,178","203,392","267,811","179,706","188,596","278,182","278,822","193,970","116,616","137,318","178,127","273,343","2,496,061",4.2%,4.1%,,,
Oceania,"51,386","57,473","54,546","40,576","40,177","45,676","47,840","38,989","37,090","43,137","49,722","65,144","571,756",4.5%,0.9%,,,
Middle East,"129,169","108,560","128,895","119,436","144,663","167,877","139,006","136,749","110,563","122,138","123,966","148,460","1,579,482",5.3%,2.6%,,,
Africa,"25,970","22,748","30,716","25,228","34,686","38,740","36,386","33,046","26,763","27,108","23,182","27,375","351,948",-3.5%,0.6%,,,
,,,,,,,,,,,,,,,,,,
Total Overseas (2),"1,935,738","1,821,969","2,534,090","2,203,737","2,659,321","3,322,171","3,095,739","2,606,577","2,203,735","2,125,365","2,016,706","2,490,315","29,015,463",1.8%,47.1%,,,
,,,,,,,,,,,,,,,,,,
Mexico (Total) (3)(P),"1,727,013","1,650,922","1,882,418","1,587,036","1,492,687","1,722,702","1,870,325","1,833,458","1,437,588","1,494,839","1,757,982","2,089,391","20,546,361",1.2%,33.4%,,,
Mexico (Air) (2),"474,509","530,234","691,183","495,217","498,375","619,492","587,129","464,307","300,218","415,202","487,955","655,222","6,219,043",7.7%,(6),,,
Canada (Total) (4) ,"477,810","525,690","665,729","647,216","1,033,635","1,520,814","1,887,005","1,930,156","1,107,875","847,576","616,288","748,182","12,007,976",1.0%,19.5%,,,
Canada (Air) (4),"185,144","188,932","232,514","240,166","326,553","456,846","505,409","471,821","366,067","296,183","224,566","276,161","3,770,362",4.9%,(6),,,
North America,"2,204,823","2,176,612","2,548,147","2,234,252","2,526,322","3,243,516","3,757,330","3,763,614","2,545,463","2,342,415","2,374,270","2,837,573","32,554,337",1.1%,52.9%,,,
