,,,,,U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,
Canada (Total) ,"460,959","496,812","568,409","694,587","970,321","1,460,382","1,945,869","1,673,769","1,180,189","824,728","582,835","738,083","11,596,943",,19.8%,
Canada (Air) ,"181,821","177,090","225,670","225,410","307,428","431,982","451,688","396,753","331,905","267,950","215,137","240,077","3,452,911",,(7),
North America,"2,233,797","2,113,888","2,397,853","2,427,833","2,635,575","3,120,532","3,975,927","3,326,602","2,512,676","2,274,756","2,247,261","3,036,852","31,680,943",,,
,,,,,,,,,,,,,,,,
Grand Total ,"4,091,033","3,628,803","4,641,415","4,584,601","5,151,863","6,189,466","6,972,575","5,679,982","4,642,082","4,282,324","4,150,356","5,312,060","58,703,951",,100.0%,
,,,,,,,,,,,,,,,,
(7) Market Share of 'Air' travel compared to all air travel was 15.4% for Mexico-air and 9.6% for Canada.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2012/2011 ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,,,
Percent Change Year-over-year,,,,,,,,,,,,,,,,
Western Hemisphere (U.S. Outbound),,,,,,,,,,,,,,,,
Caribbean,2.3%,26.8%,8.5%,3.5%,5.3%,9.1%,3.7%,10.7%,8.0%,1.5%,2.5%,0.8%,6.7%,,,
Mexico (Total),-1.4%,2.6%,7.3%,-5.6%,-7.4%,1.4%,-6.1%,-7.4%,-0.4%,-0.4%,2.6%,-3.5%,1.4%,,,
Mexico (Air),1.3%,33.6%,3.7%,-7.0%,0.1%,3.3%,0.1%,4.6%,1.5%,5.4%,6.1%,4.0%,4.2%,,,
Canada (Total),0.3%,7.7%,6.1%,3.0%,2.6%,4.9%,-5.4%,10.6%,-2.0%,-0.4%,1.3%,1.5%,2.2%,,,
Canada (Air),0.3%,9.2%,-0.1%,7.8%,-0.3%,0.2%,-1.2%,7.1%,-0.3%,4.7%,-3.3%,8.6%,2.4%,,,
,,,,,,,,,,,,,,,,
Other Regions: ,,,,,,,,,,,,,,,,
Europe,2.1%,19.0%,6.5%,3.2%,4.8%,4.7%,0.8%,7.6%,1.8%,1.0%,0.2%,1.5%,3.9%,,,
Asia,4.0%,20.7%,13.6%,8.5%,8.3%,3.3%,-1.9%,-1.7%,0.5%,0.3%,2.4%,-1.6%,4.3%,,,
So America,1.0%,12.6%,8.8%,5.4%,5.9%,2.5%,-1.8%,0.9%,-1.7%,0.9%,1.3%,1.1%,3.0%,,,
Cent Am,9.1%,44.1%,15.7%,0.8%,10.1%,9.8%,3.9%,11.3%,8.8%,9.6%,10.7%,6.7%,10.9%,,,
Oceania,11.3%,13.0%,8.7%,6.2%,10.3%,9.9%,13.2%,4.9%,6.1%,5.8%,7.4%,4.0%,8.4%,,,
Middle East,10.4%,30.9%,14.1%,11.7%,6.7%,17.2%,8.7%,18.2%,5.6%,2.8%,6.1%,9.4%,11.4%,,,
Africa,-10.2%,1.8%,12.3%,6.1%,9.3%,5.9%,-9.7%,-0.4%,-1.3%,-0.2%,-8.2%,-5.0%,-0.2%,,,
Overseas,3.6%,23.5%,9.6%,4.5%,6.0%,6.3%,1.7%,7.2%,2.9%,1.6%,2.5%,1.7%,5.5%,,,
Total,1.1%,12.0%,8.2%,0.5%,1.0%,4.7%,-2.6%,3.9%,0.7%,0.5%,2.4%,-0.6%,3.4%,,,
