U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
Oceania,"53,439","67,496","61,684","42,818","45,192","54,120","51,647","42,810","42,298","50,059","57,688","74,234","643,485",,0.8%,,,
Middle East,"162,570","136,853","166,257","145,791","181,811","191,786","199,753","168,455","149,477","153,967","172,068","216,463","2,045,251",,2.7%,,,
Africa,"25,125","20,343","27,766","24,945","31,857","35,090","39,673","33,198","28,683","25,474","24,603","33,815","350,572",,0.5%,,,
,,,,,,,,,,,,,,,,,,
Total Overseas ,"2,132,942","2,026,910","2,728,772","2,550,326","3,009,962","3,726,592","3,561,347","2,909,590","2,600,405","2,425,471","2,269,515","2,847,521","32,789,353",,44.6%,,,
,,,,,,,,,,,,,,,,,,
Mexico (Total),"2,295,254","2,208,352","2,533,088","2,268,789","2,290,029","2,444,530","2,673,055","2,291,681","1,929,264","2,162,586","2,508,000","3,128,657","28,733,287",,38.1%,,,
Mexico (Air),"610,299","657,784","794,416","659,440","648,131","806,020","792,841","605,774","405,547","542,983","621,766","848,664","7,993,665",,(7),,,
Canada (Total) ,"477,371","508,802","594,209","721,645","1,096,006","1,618,474","2,075,835","1,884,253","1,270,000","930,694","642,019","849,528","12,668,836",,17.3%,,,
Canada (Air) ,"173,342","177,937","216,624","246,880","337,281","475,864","539,170","483,144","370,662","311,714","237,317","291,141","3,861,076",,(7),,,
North America,"2,772,625","2,717,154","3,127,297","2,990,434","3,386,035","4,063,004","4,748,890","4,175,934","3,199,264","3,093,280","3,150,019","3,978,185","41,402,120",,,,,
,,,,,,,,,,,,,,,,,,
Grand Total ,"4,905,567","4,744,064","5,856,069","5,540,760","6,395,997","7,789,596","8,310,237","7,085,524","5,799,669","5,518,751","5,419,534","6,825,706","74,191,473",,100.0%,,,
,,,,,,,,,,,,,,,,,,
(7) Market Share of 'Air' travel compared to all air travel was 17.9% for Mexico-air and 8.6% for Canada.,,,,,,,,,,,,,,,,,,
,,,,,,,2015,,,,,,Total,,,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Final,,,,,
Europe,"585,982","500,982","840,187","926,094","1,339,841","1,741,971","1,518,260","1,279,176","1,357,057","978,329","706,325","824,656","12,598,860",,,,,
Caribbean,"560,268","610,837","755,526","671,777","647,866","783,320","852,692","656,606","403,601","477,299","523,274","705,131","7,648,197",,,,,
Asia*,"392,463","325,069","439,242","403,753","409,652","436,330","413,295","365,482","358,203","442,988","418,257","437,926","4,842,660",,,,,
South America,"129,211","135,309","154,234","126,276","146,458","182,575","179,749","156,707","128,821","139,398","156,448","234,277","1,869,463",,,,,
Central America ,"223,884","230,021","283,876","208,872","207,285","301,400","306,278","207,156","132,265","157,957","210,852","321,019","2,790,865",,,,,
Oceania,"53,439","67,496","61,684","42,818","45,192","54,120","51,647","42,810","42,298","50,059","57,688","74,234","643,485",,,,,
Middle East,"162,570","136,853","166,257","145,791","181,811","191,786","199,753","168,455","149,477","153,967","172,068","216,463","2,045,251",,,,,
Africa,"25,125","20,343","27,766","24,945","31,857","35,090","39,673","33,198","28,683","25,474","24,603","33,815","350,572",,,,,
,,,,,,,,,,,,,,,,,,
Total Overseas,"2,132,942","2,026,910","2,728,772","2,550,326","3,009,962","3,726,592","3,561,347","2,909,590","2,600,405","2,425,471","2,269,515","2,847,521","32,789,353",,,,,
,,,,,,,,,,,,,,,,,,
Mexico (Total) (3),"2,295,254","2,208,352","2,533,088","2,268,789","2,290,029","2,444,530","2,673,055","2,291,681","1,929,264","2,162,586","2,508,000","3,128,657","28,733,287",,,,,
Mexico (Air),"610,299","657,784","794,416","659,440","648,131","806,020","792,841","605,774","405,547","542,983","621,766","848,664","7,993,665",,,,,
Canada (Total),"477,371","508,802","594,209","721,645","1,096,006","1,618,474","2,075,835","1,884,253","1,270,000","930,694","642,019","849,528","12,668,836",,,,,
Canada (Air),"173,342","177,937","216,624","246,880","337,281","475,864","539,170","483,144","370,662","311,714","237,317","291,141","3,861,076",,,,,
North America,"2,772,625","2,717,154","3,127,297","2,990,434","3,386,035","4,063,004","4,748,890","4,175,934","3,199,264","3,093,280","3,150,019","3,978,185","41,402,120",,,,,
,,,,,,,,,,,,,,,,,,
Grand Total ,"4,905,567","4,744,064","5,856,069","5,540,760","6,395,997","7,789,596","8,310,237","7,085,524","5,799,669","5,518,751","5,419,534","6,825,706","74,191,473",,,,,
,,,,,,,,,,,,,,,,,,
2016/2015 ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,,,,,
Western Hemisphere (U.S. Outbound),,,,,,,,,,,,,,,,,,
Caribbean,5.1%,5.3%,7.2%,2.3%,-1.0%,2.6%,4.5%,-1.8%,3.3%,-5.4%,4.6%,6.6%,3.0%,,,,,
Mexico (Total),10.0%,9.5%,12.0%,5.0%,5.3%,7.6%,10.6%,5.7%,8.6%,16.2%,3.6%,8.9%,8.6%,,,,,
Mexico (Air),15.3%,14.3%,17.7%,11.0%,10.2%,11.4%,13.6%,4.9%,11.0%,8.2%,8.4%,11.9%,11.8%,,,,,
Canada (Total),12.3%,23.0%,29.3%,11.7%,6.2%,4.1%,11.1%,3.5%,11.4%,8.8%,11.0%,7.3%,9.7%,,,,,
