U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
South America,"127,749","137,612","154,680","123,068","144,464","208,023","167,627","143,609","112,581","123,729","134,019","194,344","1,771,505",,2.6%,,,
Central America ,"219,192","225,540","283,108","213,929","209,012","301,095","308,557","206,176","121,158","145,848","180,485","283,007","2,697,107",,4.0%,,,
Oceania,"51,774","62,658","60,097","41,314","46,359","45,003","48,892","39,913","38,013","46,573","53,030","67,699","601,325",,0.9%,,,
Middle East,"140,179","119,192","140,706","141,744","162,244","180,874","148,098","145,620","133,173","134,341","143,546","189,966","1,779,683",,2.6%,,,
Africa,"23,982","21,066","27,950","27,596","36,044","40,542","40,732","34,231","29,205","25,974","21,875","28,726","357,923",,0.5%,,,
,,,,,,,,,,,,,,,,,,
Total Overseas ,"2,015,483","1,926,088","2,575,711","2,427,609","2,907,442","3,557,038","3,347,314","2,726,919","2,361,541","2,226,067","2,086,373","2,622,563","30,780,148",,45.1%,,,
,,,,,,,,,,,,,,,,,,
Mexico (Total),"2,073,219","1,975,581","2,396,039","2,052,385","2,123,548","2,199,477","2,313,741","2,113,129","1,608,221","1,875,763","2,265,596","2,884,937","25,881,635",,38.0%,,,
Mexico (Air),"548,728","606,312","747,971","582,815","580,708","708,298","701,251","517,592","305,072","406,687","516,643","708,513","6,930,590",,(7),,,
Canada (Total) ,"450,103","483,157","553,030","662,708","992,697","1,402,535","1,840,827","1,889,787","1,074,367","860,615","562,470","742,276","11,514,572",,16.9%,,,
Canada (Air) ,"161,568","165,605","202,916","209,928","293,771","409,699","468,524","423,053","330,791","280,995","206,608","256,665","3,410,123",,(7),,,
North America,"2,523,322","2,458,738","2,949,069","2,715,093","3,116,245","3,602,012","4,154,568","4,002,916","2,682,588","2,736,378","2,828,066","3,627,213","37,396,207",,,,,
,,,,,,,,,,,,,,,,,,
Grand Total ,"4,538,805","4,384,826","5,524,780","5,142,702","6,023,687","7,159,050","7,501,882","6,729,835","5,044,129","4,962,445","4,914,439","6,249,776","68,176,355",,100.0%,,,
,,,,,,,,,,,,,,,,,,
(7) Market Share of 'Air' travel compared to all air travel was 16.9% for Mexico-air and 8.3% for Canada.,,,,,,,,,,,,,,,,,,
,,,,,,,2014,,,,,,Total,,,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Final,,,,,
Europe,"577,691","497,003","806,663","868,367","1,305,842","1,614,486","1,413,798","1,185,907","1,241,537","915,090","675,275","790,557","11,892,216",,,,,
Caribbean,"498,620","550,203","705,211","629,774","624,280","742,860","821,650","629,224","347,244","436,791","513,983","672,032","7,171,872",,,,,
Asia*,"376,296","312,814","397,296","381,817","379,197","424,155","397,960","342,239","338,630","397,721","364,160","396,232","4,508,517",,,,,
South America,"127,749","137,612","154,680","123,068","144,464","208,023","167,627","143,609","112,581","123,729","134,019","194,344","1,771,505",,,,,
Central America ,"219,192","225,540","283,108","213,929","209,012","301,095","308,557","206,176","121,158","145,848","180,485","283,007","2,697,107",,,,,
Oceania,"51,774","62,658","60,097","41,314","46,359","45,003","48,892","39,913","38,013","46,573","53,030","67,699","601,325",,,,,
Middle East,"140,179","119,192","140,706","141,744","162,244","180,874","148,098","145,620","133,173","134,341","143,546","189,966","1,779,683",,,,,
Africa,"23,982","21,066","27,950","27,596","36,044","40,542","40,732","34,231","29,205","25,974","21,875","28,726","357,923",,,,,
,,,,,,,,,,,,,,,,,,
Total Overseas,"2,015,483","1,926,088","2,575,711","2,427,609","2,907,442","3,557,038","3,347,314","2,726,919","2,361,541","2,226,067","2,086,373","2,622,563","30,780,148",,,,,
,,,,,,,,,,,,,,,,,,
Mexico (Total) (3),"2,073,219","1,975,581","2,396,039","2,052,385","2,123,548","2,199,477","2,313,741","2,113,129","1,608,221","1,875,763","2,265,596","2,884,937","25,881,635",,,,,
Mexico (Air),"548,728","606,312","747,971","582,815","580,708","708,298","701,251","517,592","305,072","406,687","516,643","708,513","6,930,590",,,,,
Canada (Total),"450,103","483,157","553,030","662,708","992,697","1,402,535","1,840,827","1,889,787","1,074,367","860,615","562,470","742,276","11,514,572",,,,,
Canada (Air),"161,568","165,605","202,916","209,928","293,771","409,699","468,524","423,053","330,791","280,995","206,608","256,665","3,410,123",,,,,
North America,"2,523,322","2,458,738","2,949,069","2,715,093","3,116,245","3,602,012","4,154,568","4,002,916","2,682,588","2,736,378","2,828,066","3,627,213","37,396,207",,,,,
,,,,,,,,,,,,,,,,,,
Grand Total ,"4,538,805","4,384,826","5,524,780","5,142,702","6,023,687","7,159,050","7,501,882","6,729,835","5,044,129","4,962,445","4,914,439","6,249,776","68,176,355",,,,,
,,,,,,,,,,,,,,,,,,
2015/2014 ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,,,,,
Western Hemisphere (U.S. Outbound),,,,,,,,,,,,,,,,,,
Caribbean,12.4%,11.0%,7.1%,6.7%,3.8%,5.4%,3.8%,4.4%,16.2%,9.3%,1.8%,4.9%,6.6%,,,,,
Mexico (Total),10.7%,11.8%,5.7%,10.5%,7.8%,11.1%,15.5%,8.4%,20.0%,15.3%,10.7%,8.4%,11.0%,,,,,
Mexico (Air),11.2%,8.5%,6.2%,13.1%,11.6%,13.8%,13.1%,17.0%,32.9%,33.5%,20.3%,19.8%,15.3%,,,,,
Canada (Total),5.8%,5.0%,6.9%,5.8%,7.7%,12.7%,11.6%,-1.3%,16.5%,5.9%,11.6%,12.1%,8.3%,,,,,
Canada (Air),7.2%,7.4%,6.7%,8.4%,5.9%,7.7%,6.5%,5.5%,3.5%,5.4%,9.0%,7.7%,6.5%,,,,,
Other Regions: ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Europe,1.4%,0.8%,4.2%,6.6%,2.6%,7.9%,7.4%,7.9%,9.3%,6.9%,4.6%,4.3%,5.9%,,,,,
Asia,4.3%,3.9%,10.6%,5.7%,8.0%,2.9%,3.9%,6.8%,5.8%,11.4%,14.9%,10.5%,7.4%,,,,,
So America,1.1%,-1.7%,-0.3%,2.6%,1.4%,-12.2%,7.2%,9.1%,14.4%,12.7%,16.7%,20.5%,5.5%,,,,,
Cent Am,2.1%,2.0%,0.3%,-2.4%,-0.8%,0.1%,-0.7%,0.5%,9.2%,8.3%,16.8%,13.4%,3.5%,,,,,
Oceania,3.2%,7.7%,2.6%,3.6%,-2.5%,20.3%,5.6%,7.3%,11.3%,7.5%,8.8%,9.7%,7.0%,,,,,
Middle East,16.0%,14.8%,18.2%,2.9%,12.1%,6.0%,34.9%,15.7%,12.2%,14.6%,19.9%,13.9%,14.9%,,,,,
Africa,4.8%,-3.4%,-0.7%,-9.6%,-11.6%,-13.4%,-2.6%,-3.0%,-1.8%,-1.9%,12.5%,17.7%,-2.1%,,,,,
Overseas,5.8%,5.2%,5.9%,5.1%,3.5%,4.8%,6.4%,6.7%,10.1%,9.0%,8.8%,8.6%,6.5%,,,,,
Total,8.1%,8.2%,5.9%,7.3%,5.7%,8.3%,10.5%,5.0%,14.6%,10.8%,10.0%,8.9%,8.5%,,,,,
