U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
,,,,,,,2015,,,,,,,,YTD,,,
,,,,,,,,,,,,,Total,% Change,Market,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,YTD (1),Share,,,
Europe,"585,982","500,982","840,187","926,094","1,339,841","1,741,971","1,518,260","1,279,176","1,357,057","978,329","706,325","824,656","12,598,860",5.9%,17.0%,,,
Caribbean,"560,268","610,837","755,526","671,777","647,866","783,320","852,692","656,606","403,601","477,299","523,274","705,131","7,648,197",6.6%,10.3%,,,
Asia,"392,463","325,069","439,242","403,753","409,652","436,330","413,295","365,482","358,203","442,988","418,257","437,926","4,842,660",7.4%,6.5%,,,
South America,"129,211","135,309","154,234","126,276","146,458","182,575","179,749","156,707","128,821","139,398","156,448","234,277","1,869,463",5.5%,2.5%,,,
Central America ,"223,884","230,021","283,876","208,872","207,285","301,400","306,278","207,156","132,265","157,957","210,852","321,019","2,790,865",3.5%,3.8%,,,
Oceania,"53,439","67,496","61,684","42,818","45,192","54,120","51,647","42,810","42,298","50,059","57,688","74,234","643,485",7.0%,0.9%,,,
Middle East,"162,570","136,853","166,257","145,791","181,811","191,786","199,753","168,455","149,477","153,967","172,068","216,463","2,045,251",14.9%,2.8%,,,
Africa,"25,125","20,343","27,766","24,945","31,857","35,090","39,673","33,198","28,683","25,474","24,603","33,815","350,572",-2.1%,0.5%,,,
,,,,,,,,,,,,,,,,,,
Total Overseas (2),"2,132,942","2,026,910","2,728,772","2,550,326","3,009,962","3,726,592","3,561,347","2,909,590","2,600,405","2,425,471","2,269,515","2,847,521","32,789,353",6.5%,44.3%,,,
,,,,,,,,,,,,,,,,,,
Mexico (Total) (3)(P),"2,295,254","2,208,351","2,533,088","2,268,789","2,290,029","2,444,530","2,673,055","2,291,681","1,929,263","2,162,587","2,508,000","3,128,659","28,733,286",11.0%,38.8%,,,
Mexico (Air) (2),"610,299","657,784","794,416","659,440","648,131","806,020","792,841","605,774","405,547","542,983","621,766","848,664","7,993,665",15.3%,(6),,,
Canada (Total) (4) ,"476,015","507,236","591,445","701,069","1,069,379","1,580,560","2,054,370","1,865,483","1,251,955","911,336","627,539","831,993","12,474,500",8.3%,16.9%,,,
Canada (Air) (4),"173,206","177,841","216,511","227,664","311,212","441,129","498,932","446,356","342,322","296,165","225,224","276,483","3,633,045",6.5%,(6),,,
North America,"2,771,269","2,715,587","3,124,533","2,969,858","3,359,408","4,025,090","4,727,425","4,157,164","3,181,218","3,073,923","3,135,539","3,960,652","41,207,786",10.2%,55.7%,,,
,,,,,,,,,,,,,,,,,,
Grand Total ,"4,904,211","4,742,497","5,853,305","5,520,184","6,369,370","7,751,682","8,288,772","7,066,754","5,781,623","5,499,394","5,405,054","6,808,173","73,997,139",8.5%,100.0%,,,
Monthly % Chg (1) ,8.1%,8.2%,5.9%,7.3%,5.7%,8.3%,10.5%,5.0%,14.6%,10.8%,10.0%,8.9%,,,,,,
,(5),,,,,,,,,,,,,,,,,
(1) Collection methodology DHS APIS (Overseas & Mexico air) comparable from 2011 through 2015.  ,,,,,,,,,,,,,,,,,,
(2) Overseas and Mexico air traffic (non-stop from US port to foreign port) source: DHS APIS.,,,,,,,,,,,,,,,,,,
"(3) Mexico aggregate total (Including air, land and border 1+ nights) source: Banco de Mexico (P) Preliminary estimate 2015 ® revised 2014",,,,,,,,,,,,,,,,,,
"(4) Canadian aggregate total (including air, land and border 1+ nights) source: STATS Canada. Note 2013 - 2015 revised as April 2015",,,,,,,,,,,,,,,,,,
(5) NTTO reconciled total APIS traffic numbers to U.S. DOT/BTS T-100 International data (BTS does not segment by citizenship) through September 2014. ,,,,,,,,,,,,,,,,,,
(6) Market Share of 'Air' travel compared to all air travel: Mexico-air 18.0%; Canada-air 8.2% ytd.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note:  All air traffic to/from all international regions (on U.S. and foreign flags) are reported by NTTO in the ""U.S. International Air Travel Statistics Report"".",,,,,,,,,,,,,,,,,,
To find out more about the Air Traffic Statistics program visit: ,,,,http://travel.trade.gov/research/programs/i92/index.html ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source:  U.S. Department of Commerce, International Trade Administration, National Travel and Tourism Office (NTTO)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Released: October 15 , 2016",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
,,,,,,,2014,,,,,,,,,,,
,,,,,,,,,,,,,Total,,Mkt,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,,Share,,,
Europe,"577,691","497,003","806,663","868,367","1,305,842","1,614,486","1,413,798","1,185,907","1,241,537","915,090","675,275","790,557","11,892,216",,17.4%,,,
Caribbean,"498,620","550,203","705,211","629,774","624,280","742,860","821,650","629,224","347,244","436,791","513,983","672,032","7,171,872",,10.5%,,,
Asia,"376,296","312,814","397,296","381,817","379,197","424,155","397,960","342,239","338,630","397,721","364,160","396,232","4,508,517",,6.6%,,,
