U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,YTD,,,
,,,,,,,,,,,,,Total,% Change,Market,,,
Mexico (Total),"1,737,012","1,663,008","1,898,948","1,607,527","1,526,583","1,773,132","1,909,406","1,874,108","1,457,269","1,517,120","1,757,738","2,128,697","20,850,546",,34.0%,,,
Mexico (Air),"474,509","530,234","691,183","495,217","498,375","619,492","587,129","464,307","300,218","415,202","487,955","655,222","6,219,043",,(7),,,
Canada (Total) ,"455,779","503,691","638,471","604,036","965,805","1,424,678","1,833,072","1,882,060","1,066,708","807,908","585,462","709,954","11,477,624",,18.7%,,,
Canada (Air) ,"162,315","165,905","203,516","197,619","268,593","378,705","433,525","404,830","314,003","257,940","194,709","239,182","3,220,842",,(7),,,
North America,"2,204,823","2,176,612","2,548,147","2,234,252","2,526,322","3,243,516","3,757,330","3,763,614","2,545,463","2,342,415","2,374,270","2,837,573","32,328,170",,,,,
,,,,,,,,,,,,,,,,,,
Grand Total ,"4,140,561","3,998,581","5,082,237","4,437,989","5,185,643","6,565,687","6,853,069","6,362,745","4,749,198","4,467,780","4,390,976","5,327,888","61,343,633",,100.0%,,,
,,,,,,,,,,,,,,,,,,
(7) Market Share of 'Air' travel compared to all air travel was 16.2% for Mexico-air and 8.4% for Canada.,,,,,,,,,,,,,,,,,,
,,,,,,,2013,,,,,,Total,,,,,
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Final,,,,,
Europe,"563,169","480,637","797,405","815,393","1,206,206","1,549,743","1,331,766","1,161,706","1,169,406","885,104","660,011","787,442","11,407,988",,,,,
Caribbean,"468,194","512,150","695,717","545,443","538,343","675,828","730,358","568,902","316,985","396,504","480,843","616,507","6,545,774",,,,,
Asia*,"372,244","298,392","398,695","353,140","367,283","394,153","366,374","325,185","315,197","389,895","365,392","381,316","4,327,266",,,,,
South America,"125,428","138,617","160,305","124,815","139,367","171,972","165,187","148,030","111,115","124,161","135,463","190,728","1,735,188",,,,,
Central America ,"200,178","203,392","267,811","179,706","188,596","278,182","278,822","193,970","116,616","137,318","178,127","273,343","2,496,061",,,,,
Oceania,"51,386","57,473","54,546","40,576","40,177","45,676","47,840","38,989","37,090","43,137","49,722","65,144","571,756",,,,,
Middle East,"129,169","108,560","128,895","119,436","144,663","167,877","139,006","136,749","110,563","122,138","123,966","148,460","1,579,482",,,,,
Africa,"25,970","22,748","30,716","25,228","34,686","38,740","36,386","33,046","26,763","27,108","23,182","27,375","351,948",,,,,
,,,,,,,,,,,,,,,,,,
Total Overseas,"1,935,738","1,821,969","2,534,090","2,203,737","2,659,321","3,322,171","3,095,739","2,606,577","2,203,735","2,125,365","2,016,706","2,490,315","29,015,463",,,,,
,,,,,,,,,,,,,,,,,,
Mexico (Total),"1,737,012","1,663,008","1,898,948","1,607,527","1,526,583","1,773,132","1,909,406","1,874,108","1,457,269","1,517,120","1,757,738","2,128,697","20,850,546",,,,,
Mexico (Air),"474,509","530,234","691,183","495,217","498,375","619,492","587,129","464,307","300,218","415,202","487,955","655,222","6,219,043",,,,,
Canada (Total),"455,779","503,691","638,471","604,036","965,805","1,424,678","1,833,072","1,882,060","1,066,708","807,908","585,462","709,954","11,477,624",,,,,
Canada (Air),"162,315","165,905","203,516","197,619","268,593","378,705","433,525","404,830","314,003","257,940","194,709","239,182","3,220,842",,,,,
